date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:07:49	669/669	---M--	200	added ('OK')	text/css	etag:%2265449930-29d%22	https://sleepyjoes.co.uk/web/app/plugins/elementor/assets/lib/font-awesome/css/solid.min.css?ver=5.15.3	C:/My%20Web%20Sites/sleepy%20joe/sleepyjoes.co.uk/web/app/plugins/elementor/assets/lib/font-awesome/css/solid.min52d5.css	(from https://sleepyjoes.co.uk/apartments/)
00:07:49	87482/87482	---M--	200	added ('OK')	application/javascript	etag:%2265449a19-155ba%22	https://sleepyjoes.co.uk/web/wp/wp-includes/js/jquery/jquery.min.js?ver=3.7.0	C:/My%20Web%20Sites/sleepy%20joe/sleepyjoes.co.uk/web/wp/wp-includes/js/jquery/jquery.min3088.js	(from https://sleepyjoes.co.uk/apartments/)
00:07:49	13577/13577	---M--	200	added ('OK')	application/javascript	etag:%2265449a19-3509%22	https://sleepyjoes.co.uk/web/wp/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	C:/My%20Web%20Sites/sleepy%20joe/sleepyjoes.co.uk/web/wp/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://sleepyjoes.co.uk/apartments/)
00:07:49	0/0	---M--	302	error ('Found')	text/html	date:Mon,%2030%20Sep%202024%2023:07:26%20GMT	https://app.mews.com/distributor/distributor.min.js	C:/My%20Web%20Sites/sleepy%20joe/app.mews.com/distributor/distributor.min.12.delayed	(from https://sleepyjoes.co.uk/apartments/)
00:07:50	107811/107811	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2030%20Sep%202024%2015:11:34%20GMT	https://apps.mews.com/distributor/release/production/3756.0.0/distributor.js	C:/My%20Web%20Sites/sleepy%20joe/apps.mews.com/distributor/release/production/3756.0.0/distributor.js	(from https://sleepyjoes.co.uk/apartments/)
00:07:50	862/862	---M--	200	added ('OK')	image/png	etag:%22654d6204-35e%22	https://sleepyjoes.co.uk/web/app/uploads/2023/11/cropped-Icon-Original_flavicon-32x32.png	C:/My%20Web%20Sites/sleepy%20joe/sleepyjoes.co.uk/web/app/uploads/2023/11/cropped-Icon-Original_flavicon-32x32.png	(from https://sleepyjoes.co.uk/apartments/)
00:07:50	8424/8424	---M--	200	added ('OK')	image/png	etag:%22654d6204-20e8%22	https://sleepyjoes.co.uk/web/app/uploads/2023/11/cropped-Icon-Original_flavicon-192x192.png	C:/My%20Web%20Sites/sleepy%20joe/sleepyjoes.co.uk/web/app/uploads/2023/11/cropped-Icon-Original_flavicon-192x192.png	(from https://sleepyjoes.co.uk/apartments/)
00:07:50	7624/7624	---M--	200	added ('OK')	image/png	etag:%22654d6204-1dc8%22	https://sleepyjoes.co.uk/web/app/uploads/2023/11/cropped-Icon-Original_flavicon-180x180.png	C:/My%20Web%20Sites/sleepy%20joe/sleepyjoes.co.uk/web/app/uploads/2023/11/cropped-Icon-Original_flavicon-180x180.png	(from https://sleepyjoes.co.uk/apartments/)
00:07:51	23943/23943	---M--	200	added ('OK')	text/css	etag:%2265449984-5d87%22	https://sleepyjoes.co.uk/web/app/plugins/powerpack-elements/assets/lib/hamburgers/hamburgers.min.css?ver=2.10.1	C:/My%20Web%20Sites/sleepy%20joe/sleepyjoes.co.uk/web/app/plugins/powerpack-elements/assets/lib/hamburgers/hamburgers.min3894.css	(from https://sleepyjoes.co.uk/apartments/)
00:07:51	10010/10010	---M--	200	added ('OK')	text/css	etag:%22654d3abe-271a%22	https://sleepyjoes.co.uk/web/app/uploads/elementor/css/post-398.css?ver=1699560126	C:/My%20Web%20Sites/sleepy%20joe/sleepyjoes.co.uk/web/app/uploads/elementor/css/post-398df8f.css	(from https://sleepyjoes.co.uk/apartments/)
00:07:51	1741/1741	---M--	200	added ('OK')	text/css	etag:%22654d3a9c-6cd%22	https://sleepyjoes.co.uk/web/app/uploads/elementor/css/post-403.css?ver=1699560092	C:/My%20Web%20Sites/sleepy%20joe/sleepyjoes.co.uk/web/app/uploads/elementor/css/post-4038e6f.css	(from https://sleepyjoes.co.uk/apartments/)
00:07:51	18468/18468	---M--	200	added ('OK')	text/css	etag:%226544992f-4824%22	https://sleepyjoes.co.uk/web/app/plugins/elementor/assets/lib/animations/animations.min.css?ver=3.16.4	C:/My%20Web%20Sites/sleepy%20joe/sleepyjoes.co.uk/web/app/plugins/elementor/assets/lib/animations/animations.minafc7.css	(from https://sleepyjoes.co.uk/apartments/)
